City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,dalandzadgad,43.5708,104.425,-2.95,48,8,0.68,MN,1703920384
82,ribeira grande,38.5167,-28.7,14.22,72,20,4.12,PT,1703920668
83,uturoa,-16.7333,-151.4333,27.85,81,100,4.73,PF,1703920669
84,madang,-5.2246,145.7966,28.9,75,100,2.3,PG,1703920669
85,thompson,55.7435,-97.8558,-10.91,85,75,2.57,CA,1703920608
86,okha,53.5739,142.9478,-20.48,92,100,10.22,RU,1703920391
87,new romney,50.986,0.9412,10.12,92,20,6.17,GB,1703920671
88,el calafate,-50.3408,-72.2768,11.83,72,90,2.93,AR,1703920671
89,constantia,44.1833,28.65,3.38,81,100,3.48,RO,1703920671
90,queenstown,-31.8976,26.8753,22.69,56,81,3.37,ZA,1703920672
91,pauini,-7.7136,-66.9764,22.22,99,100,0.37,BR,1703920672
92,peterhead,57.5058,-1.7981,3.22,85,100,6.39,GB,1703920673
93,jamestown,42.097,-79.2353,1.97,99,100,3.6,US,1703920673
94,cruzeiro do sul,-29.5128,-51.9853,19.73,85,90,1.87,BR,1703920674
95,pedernales,18.0384,-71.744,25.21,83,66,0.94,DO,1703920674
96,yunyang,33.4474,112.7142,14.4,41,0,0.87,CN,1703920391
97,tura,25.5198,90.2201,24.73,46,59,1.48,IN,1703920675
98,belyy yar,53.6039,91.3903,-0.06,64,0,4.0,RU,1703920676
99,pathein,16.7833,94.7333,30.99,40,100,1.61,MM,1703920676
100,emerald,-23.5333,148.1667,34.63,38,100,5.14,AU,1703920677
101,padang,-0.9492,100.3543,30.03,84,87,3.72,ID,1703920260
102,rio grande,-32.035,-52.0986,15.53,66,10,6.26,BR,1703920678
103,matoury,4.8483,-52.3317,24.98,94,40,0.0,GF,1703920678
104,bathsheba,13.2167,-59.5167,25.34,83,20,3.6,BB,1703920679
105,anadyr,64.75,177.4833,-7.72,67,100,8.0,RU,1703920452
106,nuuk,64.1835,-51.7216,-10.66,62,41,2.57,GL,1703920679
107,chateaugiron,48.0463,-1.5044,9.83,100,100,3.6,FR,1703920680
108,luderitz,-26.6481,15.1594,20.08,71,0,2.71,NA,1703920681
109,sitka,57.0531,-135.33,9.94,81,100,4.12,US,1703920681
110,port saint john's,-31.6229,29.5448,25.8,65,37,5.44,ZA,1703920682
111,ancud,-41.8697,-73.8203,9.99,73,56,1.38,CL,1703920682
112,georgetown,5.4112,100.3354,29.97,75,20,4.12,MY,1703920683
113,prado,-17.3411,-39.2208,24.01,86,100,4.45,BR,1703920684
114,tazacorte,28.629,-17.9293,18.54,26,0,4.12,ES,1703920684
115,mahdia,35.5047,11.0622,10.97,85,100,2.97,TN,1703920685
116,dauphin,51.1494,-100.0502,-4.92,80,100,5.66,CA,1703920685
117,badger,64.8,-147.5333,-21.77,73,20,0.0,US,1703920686
118,kalininskaya,45.4822,38.6628,6.19,88,85,2.61,RU,1703920686
119,urangan,-25.3,152.9,26.17,84,96,11.75,AU,1703920687
120,podgornoye,51.735,39.1496,3.12,93,75,5.0,RU,1703920688
121,shitanjing,39.2342,106.3439,-1.12,42,0,4.1,CN,1703920689
122,vuktyl,63.8567,57.3094,-9.38,92,100,4.02,RU,1703920689
123,eldorado,-23.7869,-54.2836,20.17,95,92,2.21,BR,1703920690
124,lauro de freitas,-12.8944,-38.3272,24.01,88,20,1.54,BR,1703920690
125,lihue,21.9789,-159.3672,21.77,80,100,3.6,US,1703920691
126,augusto correa,-1.0217,-46.635,24.97,95,76,1.8,BR,1703920691
127,axim,4.8699,-2.2405,26.31,79,7,1.38,GH,1703920692
128,baki,-7.6128,110.7839,31.69,62,100,3.19,ID,1703920692
129,tchintabaraden,15.8969,5.7985,15.54,23,0,4.57,NE,1703920692
130,amga,60.8953,131.9608,-40.39,100,100,0.78,RU,1703920693
131,alesund,62.4723,6.1549,4.86,78,75,3.6,NO,1703920694
132,tabou,4.423,-7.3528,25.82,83,30,1.04,CI,1703920695
133,port said,31.2565,32.2841,19.35,70,0,5.3,EG,1703920695
134,punta del este,-34.9667,-54.95,16.6,65,40,6.69,UY,1703920696
135,flying fish cove,-10.4217,105.6791,28.82,78,75,5.66,CX,1703920696
136,lincheng,19.9078,109.6858,22.24,84,100,5.75,CN,1703920697
137,revda,56.801,59.9303,-14.97,90,100,7.26,RU,1703920698
138,itoman,26.1247,127.6694,25.22,83,75,9.26,JP,1703920596
139,taro,-8.3862,115.28,29.0,66,96,1.78,ID,1703920699
140,hanzhong,33.0728,107.0303,13.22,49,0,0.31,CN,1703920700
141,palamos,41.8484,3.1291,0.78,80,55,1.6,ES,1703920701
142,meulaboh,4.1363,96.1285,28.17,79,98,2.26,ID,1703920701
143,arcachon,44.5875,-1.0519,9.18,100,49,2.06,FR,1703920701
144,gornozavodsk,58.3758,58.3211,-15.79,94,100,5.85,RU,1703920702
145,kalamb,19.05,73.95,27.64,25,86,2.51,IN,1703920703
146,poso,-1.3959,120.7524,29.58,75,54,1.37,ID,1703920470
147,memari,23.2,88.1167,26.32,37,0,2.99,IN,1703920704
148,ha tinh,18.3333,105.9,21.02,93,100,2.78,VN,1703920595
149,atafu village,-8.5421,-172.5159,29.43,68,100,4.77,TK,1703920704
150,dudinka,69.4058,86.1778,-25.74,96,100,6.26,RU,1703920705
151,kunszentmarton,46.8392,20.2888,4.51,92,100,3.65,HU,1703920706
152,morehead city,34.7229,-76.726,7.22,75,0,7.72,US,1703920706
153,tsiombe,-25.3,45.4833,28.3,64,100,9.66,MG,1703920707
154,rethymno,35.3647,24.4714,14.79,73,100,2.56,GR,1703920708
155,kone,-21.0595,164.8658,28.26,66,73,0.67,NC,1703920708
156,remire-montjoly,4.9167,-52.2667,25.02,94,40,0.0,GF,1703920709
157,tolanaro,-25.0319,46.9987,24.95,88,100,7.19,MG,1703920709
158,avarua,-21.2078,-159.775,25.03,83,25,1.54,CK,1703920311
159,molchanovo,57.5817,83.7692,-7.58,84,100,7.27,RU,1703920710
160,praia da vitoria,38.7333,-27.0667,13.75,94,20,3.51,PT,1703920711
161,longboat key,27.4125,-82.659,12.02,82,0,0.0,US,1703920711
162,viedma,-40.8135,-62.9967,11.8,54,0,1.06,AR,1703920712
163,jendouba,36.5011,8.7802,5.01,93,20,1.03,TN,1703920712
164,utrik,11.2278,169.8474,27.2,83,100,9.1,MH,1703920713
165,pariaman,-0.619,100.12,31.03,78,86,4.56,ID,1703920714
166,keflavik,64.0049,-22.5624,-2.76,86,75,3.09,IS,1703920714
167,nouadhibou,20.931,-17.0347,16.99,48,97,3.09,MR,1703920699
168,east ballina,-28.8667,153.5833,26.56,75,69,7.8,AU,1703920715
169,corredor,8.64,-82.946,24.3,97,100,1.38,CR,1703920715
170,hermanus,-34.4187,19.2345,22.67,84,100,6.14,ZA,1703920716
171,daru,-9.0763,143.2092,29.74,70,16,4.19,PG,1703920717
172,hithadhoo,-0.6,73.0833,26.53,87,94,7.17,MV,1703920717
173,petropavlovsk-kamchatsky,53.0452,158.6483,-12.53,85,0,6.26,RU,1703920718
174,sandnessjoen,66.0217,12.6316,-6.71,70,99,8.14,NO,1703920718
175,aasiaat,68.7098,-52.8699,-21.55,86,100,5.74,GL,1703920719
176,east london,-33.0153,27.9116,21.52,88,40,4.12,ZA,1703920720
177,lastoursville,-0.8143,12.7287,25.41,81,99,0.72,GA,1703920720
178,hammerfest,70.6634,23.6821,-6.75,68,5,5.66,NO,1703920720
179,vadso,70.0744,29.7487,-6.91,86,100,2.06,NO,1703920721
180,ulsteinvik,62.3432,5.8487,4.86,82,100,4.47,NO,1703920722
181,pursat,12.3333,103.6667,33.16,44,22,2.54,KH,1703920447
182,stanley,54.868,-1.6985,0.71,96,0,1.54,GB,1703920722
183,chonchi,-42.6128,-73.8092,12.29,86,18,1.76,CL,1703920723
184,yinchuan,38.4681,106.2731,1.4,37,1,0.79,CN,1703920723
185,suva,-18.1416,178.4415,26.71,83,75,2.57,FJ,1703920671
186,grand gaube,-20.0064,57.6608,29.22,73,100,2.68,MU,1703920724
187,san antonio de pale,-1.4014,5.6325,26.92,82,15,3.87,GQ,1703920724
188,taseyevo,57.2169,94.8978,-1.48,87,73,3.13,RU,1703920725
189,lashio,22.9333,97.75,22.97,44,0,1.63,MM,1703920725
190,ranchettes,41.2186,-104.7903,4.06,49,20,0.89,US,1703920726
191,lambarene,-0.7001,10.2406,24.84,93,99,1.25,GA,1703920726
192,charters towers,-20.1,146.2667,37.09,30,3,7.79,AU,1703920599
193,melekeok village,7.4957,134.6367,30.31,74,75,3.09,PW,1703920727
194,isafjordur,66.0755,-23.124,-9.77,79,45,2.35,IS,1703920727
195,callao,-12.0667,-77.15,23.18,83,75,5.66,PE,1703920599
196,huambo,-12.7761,15.7392,18.95,80,15,0.71,AO,1703920728
197,safi,32.1667,-8.8333,10.86,28,11,2.62,MA,1703920729
198,popondetta,-8.7537,148.2534,29.94,67,100,2.01,PG,1703920729
199,tiksi,71.6872,128.8694,-36.33,98,94,4.74,RU,1703920730
200,angra do heroismo,38.65,-27.2167,13.95,85,20,3.97,PT,1703920730
201,mangai,-4.05,19.5333,22.22,93,100,1.31,CD,1703920731
202,palembang,-2.9167,104.7458,33.05,62,75,2.06,ID,1703920576
203,rongelap,11.1635,166.8941,27.4,85,100,8.21,MH,1703920732
204,caleta de carquin,-11.0925,-77.6267,21.42,89,100,4.28,PE,1703920733
205,port mathurin,-19.6833,63.4167,27.97,75,90,4.45,MU,1703920498
206,sarigerme,36.7155,28.7044,8.73,93,75,3.09,TR,1703920733
207,abu ghurayb,33.3083,44.185,12.97,94,0,3.6,IQ,1703920726
208,hamilton,39.1834,-84.5333,2.45,92,100,3.13,US,1703920734
209,wanning,18.8003,110.3967,23.79,86,87,5.27,CN,1703920734
210,kasson,44.03,-92.7507,-0.31,96,0,3.6,US,1703920735
211,champerico,14.3,-91.9167,24.35,81,63,1.87,GT,1703920735
212,hawaiian paradise park,19.5933,-154.9731,20.73,98,100,2.06,US,1703920736
213,talnakh,69.4865,88.3972,-20.92,98,100,1.7,RU,1703920737
214,malango,-2.9627,119.9001,26.53,82,84,1.57,ID,1703920738
215,nago,26.5881,127.9761,25.25,89,92,6.62,JP,1703920608
216,puerto ayora,-0.7393,-90.3518,24.75,96,42,0.45,EC,1703920738
217,aykhal,66.0,111.5,-25.53,97,100,5.38,RU,1703920739
218,khandyga,62.6667,135.6,-47.08,100,96,0.95,RU,1703920739
219,nizhniy kuranakh,58.8353,125.4869,-36.66,100,9,0.79,RU,1703920740
220,puerto carreno,6.189,-67.4859,25.98,78,100,1.21,CO,1703920740
221,poli,-3.3333,36.8,22.48,63,77,1.13,TZ,1703920740
222,undurkhaan,47.3194,110.6556,-10.35,93,17,1.61,MN,1703920741
223,west bay,19.3667,-81.4167,22.81,86,100,0.89,KY,1703920741
224,medina,24.4686,39.6142,18.24,68,40,2.06,SA,1703920540
225,rurrenabaque,-14.4413,-67.5278,23.5,97,49,0.5,BO,1703920742
226,yuzhno-kurilsk,44.0306,145.8556,-0.35,72,100,9.8,RU,1703920742
227,tamanrasset,22.785,5.5228,11.95,30,0,2.06,DZ,1703920743
228,tondano,1.3038,124.9112,25.05,77,96,1.01,ID,1703920744
229,kuusamo,65.9667,29.1833,-9.98,85,100,3.6,FI,1703920744
230,mangaratiba,-22.9597,-44.0406,25.48,77,34,2.37,BR,1703920744
231,west mackay,-21.1481,149.1605,34.24,70,0,7.47,AU,1703920745
232,crucecita,-28.95,-58.9833,19.94,90,32,4.9,AR,1703920746
233,whitehorse,60.7161,-135.0538,-9.39,85,100,1.03,CA,1703920746
234,nalut,30.3333,10.85,9.4,56,0,4.04,LY,1703920747
235,bozhou,33.8772,115.7703,13.31,39,0,6.29,CN,1703920717
236,sinabang,2.4803,96.3801,27.17,84,100,3.15,ID,1703920748
237,todos santos,23.45,-110.2167,17.39,48,1,2.15,MX,1703920749
238,berberati,4.2612,15.7922,25.09,32,87,1.37,CF,1703920707
239,zaysan,47.4667,84.8667,-0.71,80,98,2.5,KZ,1703920750
240,penonome,8.5167,-80.3667,24.82,62,100,3.13,PA,1703920750
241,kapit,2.0167,112.9333,31.49,69,98,1.31,MY,1703920750
242,auki,-8.7676,160.7034,27.38,83,91,0.79,SB,1703920751
243,entebbe,0.0644,32.4469,22.18,83,20,2.06,UG,1703920751
244,kristinehamn,59.3098,14.1081,-1.69,96,100,2.0,SE,1703920752
245,plettenberg bay,-34.0527,23.3716,21.43,81,100,2.64,ZA,1703920753
246,kharkhorin,47.1975,102.8238,-8.44,79,97,0.76,MN,1703920753
247,longyearbyen,78.2186,15.6401,-0.09,69,40,7.72,SJ,1703920754
